Author,Race
Aberjhani,African-American
Mumia Abu-Jamalÿ(born 1954),African-American
"Linda Addisonÿ(born 1952), author and poet",African-American
"Rochelle Alersÿ(born 1963), author and artist",African-American
Kwame Alexander,African-American
"Larry D. Alexanderÿ(born 1953), author and artist",African-American
Lewis Grandison Alexanderÿ(born 1900),African-American
"Clarissa Minnie Thompson Allen, author and educator",African-American
Robert L. Allenÿ(born 1942),African-American
"Nahshon Dion Andersonÿ(born 1978), writer and screenwriter",African-American
"Maya Angelouÿ(1928?2014), author and poet",African-American
"Tina McElroy Ansaÿ(born 1949), novelist, filmmaker, teacher and journalist",African-American
"Chalmers Archerÿ(1928?2014), author, veteran and educator",African-American
"M. K. Asante, Jr.ÿ(born 1982), author, poet, screenwriter, professor",African-American
"Jabari Asimÿ(born 1962), poet, playwright, professor",African-American
William Attawayÿ(1911?1986),African-American
,African-American
B[edit],African-American
Michael Baisdenÿ(born 1963),African-American
"Calvin Bakerÿ(born 1972), novelist",African-American
James Baldwinÿ(1924?1987),African-American
Toni Cade Bambaraÿ(1939?1995),African-American
Leslie Esdaile Banksÿ(1959?2011),African-American
Amiri Barakaÿ(1934?2014),African-American
Steven Barnesÿ(born 1952),African-American
Lindon W. Barrettÿ(1961?2008),African-American
Carol S. Bateyÿ(born 1955),African-American
Samuel Alfred Beadleÿ(1857?1932),African-American
Paul Beattyÿ(born 1962),African-American
Robert Beckÿ(1918?1992),African-American
Christopher C. Bellÿ(born 1933),African-American
Derrick Bellÿ(1930?2011),African-American
Brit Bennett,African-American
Gwendolyn Bennettÿ(1902?1981),African-American
Hal Bennettÿ(1936?2004),African-American
"Lerone Bennett, Jr.ÿ(born 1928)",African-American
Bertice Berryÿ(born 1960),African-American
"Venise T. Berry, novelist",African-American
Eloise Bibb Thompsonÿ(1878?1928),African-American
Henry Bibbÿ(1815?1854),African-American
Kole Blackÿ(born 1975),African-American
"Eleanor Taylor Blandÿ(1944?2010), writer of crime fiction",African-American
Marita Bonnerÿ(1899?1971),African-American
Arna Bontempsÿ(1902?1973),African-American
James Boggs (activist)ÿ(born 1919),African-American
"Demico Boothe, writer on civil rights",African-American
David Bradleyÿ(born 1950),African-American
"William Stanley Braithwaiteÿ(1878?1962), poet and literary critic",African-American
Gwendolyn Brooksÿ(1917?2000),African-American
Claude Brownÿ(1937?2002),African-American
Hallie Quinn Brownÿ(1849?1949),African-American
"Sterling A. Brownÿ(1901?1989), poet, literary critic, professor, poet laureate of theÿDistrict of Columbia",African-American
"William Wells Brownÿ(1814?1884), wrote first novel published by an African American,ÿClotelÿ(1853)",African-American
Ashley Bryanÿ(born 1923),African-American
"Niobia Bryant, author of romance and mainstream fiction novels",African-American
Ed Bullinsÿ(born 1935),African-American
Olivia Ward Bushÿ(1869?1944),African-American
Octavia Butlerÿ(1947?2004),African-American
Roderick D. Bushÿ(1945?2013),African-American
,African-American
C[edit],African-American
George Cainÿ(1943?2010),African-American
Bebe Moore Campbellÿ(1950?2006),African-American
Stokely Carmichaelÿ(1941?1998),African-American
Ben Carsonÿ(born 1951),African-American
Jennie Carterÿ(1830?1881),African-American
Stephen L. Carterÿ(born 1954),African-American
Cyrus Cassellsÿ(born 1957),African-American
"Lady Chablisÿ(1957?2016), actress, author, drag performer",African-American
"Charles W. Chesnuttÿ(1858?1932), novelist and short-story writer",African-American
"Alice Childressÿ(1912?1994), playwright and novelist",African-American
Breena Clarke,African-American
Cheril N. Clarkeÿ(born 1980),African-American
Cheryl Clarkeÿ(born 1947),African-American
John Henrik Clarkeÿ(1915?1998),African-American
