Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
" BLUEHAVEN ENTERPRISES, LLC ",170702474,Adams County,3,12867.47,10828.8,2038.67,5225,3186.33,2038.67,611.62,509.69,101.93
"""ALWAYS AFTER 5"", INC.",140700460,Springfield,5,2396358.91,2207565.26,188793.65,806600,617806.5,188793.5,56638.72,47198.96,9439.76
"""Mt. Morris Moose Lodge No. 1551, Loyal Order of Moose""",130802222,Mount Morris,4,623916.73,572814.46,51102.27,210294,159191.64,51102.36,15331.09,12775.89,2555.2
"""Tammy's Hallway Inc.""",120700412,Centralia,5,2186913.36,2001811.78,185101.58,654670,469568.42,185101.58,55531.05,46275.89,9255.16
"""The Original"" Little Joe's Pizza, Inc.",160703400,New Lenox,3,2199572.73,2031444.43,168128.3,592150,424021.7,168128.3,50438.88,42032.4,8406.48
"""TIENDA RANCHITO"" INCORPORATED",130706357,Fairmont City,5,2692327.38,2470887.44,221439.94,861605,640164.79,221440.21,66432.65,55360.54,11072.11
"""Toomey Enterprises, Inc.""",130703130,Carbondale,4,424511.16,384589.05,39922.11,153798,113875.89,39922.11,11977.07,9980.9,1996.17
"""Unique"" Foods, Incorporated",120709143,Effingham County,3,403554.88,370240.53,33314.35,120703,87388.65,33314.35,9994.56,8328.81,1665.75
"'Albion Lodge No. 621, Loyal Order of Moose'",140900593,Albion,3,449322.2,416451.58,32870.62,99621,66750.38,32870.62,9861.34,8217.79,1643.55
"'CARPENTERSVILLE, LODGE NO. 1958, LOYAL ORDER OF MOOSE'",120809800,Carpentersville,5,1356940.52,1252274.33,104666.19,468385,363718.81,104666.19,31400.27,26166.91,5233.36
"'Flora Moose Lodge, No 1384'",120804264,Flora,4,996777.29,918047.93,78729.36,276906,198176.33,78729.67,23619.41,19682.85,3936.56
'INDIAN CREEK GOLF AND COUNTRY CLUB',140700067,Livingston County,3,481365.49,447840.96,33524.53,145114,111589.37,33524.63,10057.72,8381.43,1676.29
'Murphysboro Lodge No. 1591 Loyal Order of Moose',120805163,Jackson County,5,644390.47,591722.62,52667.85,280830,228162.15,52667.85,15800.88,13167.44,2633.44
"'OTTAWA LODGE NO. 960, LOYAL ORDER OF MOOSE'",120801306,La Salle County,4,1572619.18,1442987.37,129631.81,536471,406839.41,129631.59,38889.96,32408.29,6481.67
'THE CARROLL CLUB',170701167,Carrollton,5,1075358.38,999363.43,75994.95,322174,246179.05,75994.95,22799.03,18999.22,3799.81
"(1) Mr. T's Tavern and Liquor Store, Incorporated",120710005,Staunton,4,1755035.76,1608022.56,147013.2,441322,294308.8,147013.2,44104.5,36753.76,7350.74
100 Proof LLC,160703943,Clayton,3,425754.17,383516.27,42237.9,135613,93375.1,42237.9,12671.64,10559.7,2111.94
